,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
0,"(0.2, 0.01, 0.8, 1500)",0.2,0.01,0.8,1500,"[3.20000e-01 2.08000e+00 4.40000e+00 7.15000e+00 1.54600e+01 2.79950e+02
 1.52330e+03 1.85080e+03 1.70909e+03 1.81728e+03 1.74300e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[2.50000e-01 1.45000e+00 3.00000e+00 4.70000e+00 9.85000e+00 2.65000e+02
 1.50070e+03 1.83740e+03 1.74660e+03 1.80865e+03 1.70515e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
1,"(0.2, 0.01, 0.8, 2000)",0.2,0.01,0.8,2000,"[8.50000e-01 1.54000e+00 3.62000e+00 6.82000e+00 3.01000e+01 2.45610e+02
 1.89482e+03 2.00000e+03 1.82989e+03 2.00000e+03 2.00000e+03 2.00000e+03
 1.67282e+03 1.85078e+03 1.85683e+03]","[6.00000e-01 1.15000e+00 2.95000e+00 5.65000e+00 2.31000e+01 2.40450e+02
 1.89645e+03 2.00000e+03 1.83050e+03 2.00000e+03 2.00000e+03 2.00000e+03
 1.64670e+03 1.83770e+03 1.85100e+03]"
2,"(0.2, 0.01, 0.9, 1500)",0.2,0.01,0.9,1500,"[6.30000e-01 2.59000e+00 6.88000e+00 1.32900e+01 2.21700e+01 4.60910e+02
 1.28824e+03 1.68806e+03 1.98003e+03 2.00000e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[4.5000e-01 2.0000e+00 5.9500e+00 8.4000e+00 1.7600e+01 3.7950e+02
 1.3473e+03 1.6760e+03 2.0000e+03 2.0000e+03 2.0000e+03 2.0000e+03
 2.0000e+03 2.0000e+03 2.0000e+03]"
3,"(0.2, 0.01, 0.9, 2000)",0.2,0.01,0.9,2000,"[9.90000e-01 1.52000e+00 5.07000e+00 1.09800e+01 9.04000e+00 5.19080e+02
 1.77176e+03 1.87386e+03 1.81857e+03 1.65207e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[8.50000e-01 1.10000e+00 3.95000e+00 7.25000e+00 6.05000e+00 4.88600e+02
 1.79415e+03 1.86465e+03 1.80790e+03 1.63500e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
4,"(0.2, 0.01, 1, 1500)",0.2,0.01,1.0,1500,"[1.23000e+00 2.60000e+00 1.19190e+02 1.33220e+02 2.31430e+02 5.78590e+02
 7.98760e+02 1.23699e+03 1.17749e+03 7.82320e+02 7.31400e+02 7.76720e+02
 7.50980e+02 7.36500e+02 7.49090e+02]","[1.00000e+00 1.75000e+00 1.04050e+02 1.25700e+02 2.27300e+02 5.55100e+02
 7.59050e+02 1.22780e+03 1.16525e+03 8.14450e+02 7.05200e+02 7.86700e+02
 7.42000e+02 7.39550e+02 7.34500e+02]"
5,"(0.2, 0.01, 1, 2000)",0.2,0.01,1.0,2000,"[8.00000e-01 3.72000e+00 6.31000e+00 1.45700e+01 5.24200e+01 2.05870e+02
 5.53310e+02 6.32110e+02 5.65990e+02 6.07850e+02 8.72750e+02 7.52930e+02
 1.04661e+03 1.04777e+03 1.04623e+03]","[5.00000e-01 2.25000e+00 3.95000e+00 1.29000e+01 5.14500e+01 1.21100e+02
 5.00850e+02 6.19200e+02 5.38650e+02 5.64550e+02 8.56950e+02 6.92300e+02
 1.03035e+03 1.03290e+03 1.03460e+03]"
6,"(0.2, 0.1, 0.8, 1500)",0.2,0.1,0.8,1500,"[3.10000e-01 1.05000e+00 1.70000e+00 3.85000e+00 3.57000e+00 1.52500e+01
 2.42390e+02 1.12174e+03 1.41030e+03 1.43036e+03 1.81871e+03 1.82238e+03
 1.82376e+03 1.76002e+03 1.89176e+03]","[5.00000e-02 5.00000e-01 1.40000e+00 2.55000e+00 2.25000e+00 1.24000e+01
 2.30950e+02 1.14965e+03 1.42340e+03 1.46090e+03 1.81325e+03 1.82285e+03
 1.81630e+03 1.81890e+03 1.85260e+03]"
7,"(0.2, 0.1, 0.8, 2000)",0.2,0.1,0.8,2000,"[8.00000e-01 2.02000e+00 3.85000e+00 4.98000e+00 7.00000e+00 1.71800e+01
 3.33580e+02 1.35492e+03 1.98134e+03 1.49397e+03 1.62582e+03 1.58661e+03
 1.90378e+03 1.92676e+03 1.81406e+03]","[5.00000e-01 1.50000e+00 2.35000e+00 4.25000e+00 4.35000e+00 1.58000e+01
 3.13650e+02 1.36650e+03 2.00000e+03 1.47250e+03 1.62170e+03 1.55570e+03
 1.93990e+03 1.93685e+03 1.81240e+03]"
8,"(0.2, 0.1, 0.9, 1500)",0.2,0.1,0.9,1500,"[4.00000e-01 1.22000e+00 2.55000e+00 7.55000e+00 9.44000e+00 4.12500e+01
 1.81830e+02 9.72240e+02 1.57771e+03 1.27803e+03 1.52629e+03 1.86076e+03
 1.88486e+03 1.87683e+03 1.84019e+03]","[3.00000e-01 6.50000e-01 1.60000e+00 6.55000e+00 7.20000e+00 3.48500e+01
 1.25550e+02 1.06375e+03 1.68055e+03 1.26480e+03 1.47460e+03 1.84320e+03
 1.86615e+03 1.86380e+03 1.83700e+03]"
9,"(0.2, 0.1, 0.9, 2000)",0.2,0.1,0.9,2000,"[4.40000e-01 1.18000e+00 3.59000e+00 6.45000e+00 7.51000e+00 1.56700e+02
 1.96740e+02 8.91820e+02 1.60425e+03 1.69277e+03 1.43004e+03 1.64060e+03
 1.85449e+03 2.00000e+03 2.00000e+03]","[1.50000e-01 9.50000e-01 2.10000e+00 4.95000e+00 4.85000e+00 1.65150e+02
 1.40150e+02 8.81550e+02 1.62485e+03 1.69710e+03 1.39270e+03 1.62030e+03
 1.85805e+03 2.00000e+03 2.00000e+03]"
