,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
0,"(0.05, 0.05, 0.9, 1500)",0.05,0.05,0.9,1500,"[  0.68    1.495   2.635   4.07   10.295  13.205  22.835  29.295  35.515
 262.425 295.92  260.115 276.175 290.635 394.835]","[  0.45   0.9    1.65   3.     6.     9.25  16.9   20.5   21.5  271.7
 306.35 237.95 259.95 260.2  369.25]"
1,"(0.05, 0.05, 0.9, 2000)",0.05,0.05,0.9,2000,"[2.60000e-01 1.03500e+00 2.00000e+00 2.96000e+00 4.23500e+00 9.64500e+00
 1.09350e+01 2.29050e+01 2.44100e+01 2.11605e+02 2.93785e+02 3.61880e+02
 9.03215e+02 9.05190e+02 7.56540e+02]","[1.0000e-01 7.5000e-01 1.4500e+00 1.7000e+00 2.6500e+00 7.4500e+00
 8.6500e+00 1.8000e+01 2.0100e+01 2.1620e+02 2.6455e+02 3.1960e+02
 8.3450e+02 8.6030e+02 7.2440e+02]"
2,"(0.05, 0.05, 0.9, 2500)",0.05,0.05,0.9,2500,"[6.50000e-01 2.96500e+00 3.21000e+00 4.64000e+00 5.19500e+00 1.76200e+01
 2.13600e+01 2.19140e+02 3.24150e+01 3.95700e+01 4.92700e+01 4.83605e+02
 2.36835e+02 7.12005e+02 1.17911e+03]","[3.5000e-01 2.1000e+00 2.2500e+00 3.0500e+00 4.0500e+00 1.4050e+01
 1.5600e+01 2.1380e+02 2.3550e+01 2.8300e+01 3.4100e+01 5.1775e+02
 2.6365e+02 6.5115e+02 1.1755e+03]"
3,"(0.05, 0.05, 1, 1500)",0.05,0.05,1.0,1500,"[6.40000e-01 1.73500e+00 2.45500e+00 4.14500e+00 5.77000e+00 2.08450e+01
 3.52250e+01 2.53415e+02 3.04480e+02 6.81660e+02 8.31150e+02 6.89135e+02
 7.05000e+02 8.66595e+02 6.82545e+02]","[5.5000e-01 1.5000e+00 1.8500e+00 2.8500e+00 4.0000e+00 1.4250e+01
 2.1250e+01 2.7660e+02 2.7565e+02 6.5680e+02 8.6910e+02 6.8080e+02
 6.9175e+02 8.7475e+02 6.8830e+02]"
4,"(0.05, 0.05, 1, 2000)",0.05,0.05,1.0,2000,"[8.900000e-01 2.530000e+00 3.975000e+00 6.755000e+00 1.227000e+01
 2.033500e+01 2.915000e+01 5.760000e+01 2.725950e+02 8.138600e+02
 1.012565e+03 1.152895e+03 1.435540e+03 1.438990e+03 1.411440e+03]","[4.5000e-01 2.0500e+00 3.1000e+00 5.3000e+00 9.0000e+00 1.1200e+01
 2.2900e+01 3.9750e+01 2.1440e+02 8.6290e+02 1.0201e+03 1.1839e+03
 1.4593e+03 1.4397e+03 1.4103e+03]"
5,"(0.05, 0.05, 1, 2500)",0.05,0.05,1.0,2500,"[4.60000e-01 1.23500e+00 2.89000e+00 3.30000e+00 3.81000e+00 8.41500e+00
 2.84550e+01 8.90650e+01 3.19840e+02 3.81025e+02 8.94965e+02 5.64420e+02
 1.06447e+03 9.50095e+02 9.55970e+02]","[1.0000e-01 7.5000e-01 2.2000e+00 2.6000e+00 2.7000e+00 6.2000e+00
 1.7850e+01 7.3050e+01 2.9630e+02 3.3615e+02 8.5980e+02 5.1635e+02
 1.0239e+03 9.1610e+02 9.1850e+02]"
6,"(0.05, 0.1, 0.9, 1500)",0.05,0.1,0.9,1500,"[ 0.44   1.37   1.53   1.575  2.535 15.46  10.985  8.64  14.525 18.205
 27.495 33.71  26.29  24.88  31.055]","[ 0.1   0.95  1.05  0.9   1.85 10.4   7.15  5.7   8.5  12.2  20.45 27.3
 17.25 18.95 21.9 ]"
7,"(0.05, 0.1, 0.9, 2000)",0.05,0.1,0.9,2000,"[  0.85    1.535   1.6     4.66    2.935   5.74   13.435   6.81    6.215
  17.71   16.265 221.495 258.645 112.51  198.42 ]","[  0.6    0.95   1.1    3.05   2.1    4.25  11.5    5.1    4.35  12.75
  11.8  214.25 243.25  61.2  125.65]"
8,"(0.05, 0.1, 0.9, 2500)",0.05,0.1,0.9,2500,"[  0.76    0.985   3.81   12.375   5.77   14.47   11.855   2.665   6.34
  17.83   27.07  714.69  427.86  617.065 407.565]","[4.0000e-01 5.5000e-01 2.9500e+00 7.5000e+00 3.6500e+00 1.0950e+01
 7.6000e+00 1.7500e+00 4.7000e+00 1.3450e+01 1.9100e+01 7.0220e+02
 4.5075e+02 4.8105e+02 3.5765e+02]"
9,"(0.05, 0.1, 1, 1500)",0.05,0.1,1.0,1500,"[ 0.325  1.165  2.53   3.86   5.68  12.435 38.905 18.1   35.65  22.235
 41.035 33.84  21.59  45.13  43.595]","[ 0.1   0.7   1.7   2.5   4.25  9.45 30.3  12.   18.65 17.05 27.05 26.6
 16.75 25.8  31.4 ]"
