,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
0,"(0.05, 0.05, 0.9, 1500)",0.05,0.05,0.9,1500,"[4.700000e-01 1.820000e+00 2.760000e+00 1.177500e+01 1.683000e+01
 2.213050e+02 5.392500e+01 2.668550e+02 6.727950e+02 1.283500e+03
 2.000000e+03 1.857055e+03 1.849985e+03 1.860220e+03 1.809925e+03]","[4.00000e-01 1.25000e+00 2.05000e+00 8.40000e+00 1.20000e+01 2.29400e+02
 3.73000e+01 2.46600e+02 6.59050e+02 1.23030e+03 2.00000e+03 1.82690e+03
 1.84080e+03 1.83685e+03 1.80755e+03]"
1,"(0.05, 0.05, 0.9, 2000)",0.05,0.05,0.9,2000,"[7.650000e-01 1.990000e+00 3.335000e+00 4.000000e+00 1.010000e+01
 7.976500e+01 1.083300e+02 6.062800e+02 9.471400e+02 1.749080e+03
 1.802345e+03 2.000000e+03 1.534370e+03 1.681865e+03 1.704415e+03]","[4.00000e-01 1.50000e+00 2.50000e+00 2.80000e+00 6.40000e+00 5.74500e+01
 7.77500e+01 5.36500e+02 9.02250e+02 1.79270e+03 1.80565e+03 2.00000e+03
 1.46895e+03 1.66565e+03 1.67215e+03]"
2,"(0.05, 0.05, 0.9, 2500)",0.05,0.05,0.9,2500,"[6.400000e-01 1.445000e+00 3.925000e+00 7.550000e+00 9.025000e+00
 9.785000e+01 1.633750e+02 5.925800e+02 8.105600e+02 1.589150e+03
 1.868975e+03 2.000000e+03 2.000000e+03 1.863950e+03 1.856955e+03]","[3.00000e-01 1.00000e+00 2.65000e+00 5.25000e+00 5.85000e+00 6.97000e+01
 1.24850e+02 5.27600e+02 8.24800e+02 1.54400e+03 1.87355e+03 2.00000e+03
 2.00000e+03 1.83530e+03 1.83135e+03]"
3,"(0.05, 0.05, 1, 1500)",0.05,0.05,1.0,1500,"[  0.94    2.905   6.525  11.385  15.44   30.875  47.655 312.74  675.04
 634.98  861.675 841.015 860.855 866.95  840.985]","[4.5000e-01 2.1000e+00 4.6000e+00 8.6500e+00 1.0750e+01 2.3100e+01
 3.4650e+01 3.9975e+02 6.4730e+02 6.4855e+02 8.5030e+02 8.4725e+02
 8.4840e+02 8.4800e+02 8.5020e+02]"
4,"(0.05, 0.05, 1, 2000)",0.05,0.05,1.0,2000,"[5.300000e-01 2.530000e+00 5.080000e+00 7.445000e+01 2.129650e+02
 6.069500e+01 3.264850e+02 1.014280e+03 9.726400e+02 1.188845e+03
 1.269775e+03 1.427815e+03 1.422625e+03 1.415840e+03 1.418875e+03]","[1.50000e-01 1.75000e+00 3.10000e+00 5.34000e+01 2.09200e+02 4.54500e+01
 2.84950e+02 9.70600e+02 9.62350e+02 1.17825e+03 1.25625e+03 1.41970e+03
 1.41600e+03 1.40955e+03 1.41335e+03]"
5,"(0.05, 0.05, 1, 2500)",0.05,0.05,1.0,2500,"[1.405000e+00 2.465000e+00 8.405000e+00 8.305000e+00 1.499000e+01
 4.096900e+02 2.856050e+02 5.886250e+02 5.748100e+02 6.432650e+02
 8.467200e+02 1.183655e+03 1.283835e+03 1.498210e+03 1.450380e+03]","[8.50000e-01 1.80000e+00 4.90000e+00 6.25000e+00 1.07500e+01 3.98150e+02
 2.52900e+02 5.66500e+02 5.36700e+02 5.73050e+02 7.61200e+02 1.15595e+03
 1.25195e+03 1.46910e+03 1.40990e+03]"
6,"(0.05, 0.1, 0.9, 1500)",0.05,0.1,0.9,1500,"[5.80000e-01 2.37500e+00 5.11000e+00 1.17750e+01 7.75000e+00 1.95600e+01
 3.42175e+02 4.27045e+02 4.59205e+02 8.48020e+02 8.17195e+02 1.01454e+03
 9.82935e+02 1.02762e+03 1.00733e+03]","[3.5000e-01 1.6000e+00 3.7000e+00 8.2500e+00 5.7000e+00 1.3250e+01
 3.1405e+02 4.1850e+02 4.4180e+02 7.6625e+02 8.1445e+02 9.9590e+02
 9.5140e+02 9.8840e+02 9.5840e+02]"
7,"(0.05, 0.1, 0.9, 2000)",0.05,0.1,0.9,2000,"[7.950000e-01 1.910000e+00 8.585000e+00 1.723500e+01 1.894500e+01
 6.383500e+01 3.080700e+02 5.277300e+02 9.738550e+02 7.751300e+02
 1.380055e+03 1.576105e+03 1.556050e+03 1.609050e+03 1.620160e+03]","[4.00000e-01 1.50000e+00 5.65000e+00 1.17000e+01 1.10500e+01 4.63500e+01
 2.98850e+02 4.91400e+02 9.78650e+02 7.48000e+02 1.37295e+03 1.61650e+03
 1.52935e+03 1.62450e+03 1.61970e+03]"
8,"(0.05, 0.1, 0.9, 2500)",0.05,0.1,0.9,2500,"[6.050000e-01 1.465000e+00 3.195000e+00 1.040000e+01 1.331000e+01
 7.994500e+01 3.708500e+01 5.001100e+02 6.594650e+02 8.841450e+02
 1.088300e+03 1.638620e+03 2.000000e+03 1.850050e+03 1.995725e+03]","[4.00000e-01 9.00000e-01 2.20000e+00 4.95000e+00 7.50000e+00 5.75500e+01
 2.45000e+01 4.85200e+02 6.48700e+02 8.49200e+02 1.05585e+03 1.63385e+03
 2.00000e+03 1.83580e+03 2.00000e+03]"
9,"(0.05, 0.1, 1, 1500)",0.05,0.1,1.0,1500,"[6.50000e-01 2.44000e+00 4.01500e+00 6.01000e+00 1.09850e+01 4.77700e+01
 2.80075e+02 6.52275e+02 9.58005e+02 7.22740e+02 8.97420e+02 8.14985e+02
 8.43740e+02 8.14415e+02 8.19490e+02]","[4.5000e-01 1.7000e+00 2.9000e+00 4.6000e+00 7.1500e+00 3.2450e+01
 2.6210e+02 6.5580e+02 9.4845e+02 6.8405e+02 8.9070e+02 7.5130e+02
 8.1270e+02 7.8095e+02 8.0210e+02]"
10,"(0.05, 0.1, 1, 2000)",0.05,0.1,1.0,2000,"[6.80000e-01 2.05000e+00 4.21000e+00 6.51000e+00 1.93400e+01 8.98050e+01
 2.18545e+02 4.40065e+02 4.56395e+02 5.08550e+02 5.05265e+02 6.77500e+02
 6.73710e+02 6.88720e+02 6.82630e+02]","[3.5000e-01 1.5500e+00 2.9500e+00 4.9500e+00 8.9500e+00 6.9750e+01
 2.1310e+02 4.2640e+02 4.3520e+02 4.7780e+02 4.7985e+02 6.4915e+02
 6.5320e+02 6.6530e+02 6.5890e+02]"
11,"(0.05, 0.1, 1, 2500)",0.05,0.1,1.0,2500,"[6.150000e-01 1.810000e+00 2.900000e+00 8.355000e+00 1.179500e+01
 4.682000e+01 4.801500e+01 3.243450e+02 8.509800e+02 1.706765e+03
 1.925900e+03 1.952960e+03 1.879420e+03 1.756665e+03 1.768905e+03]","[4.00000e-01 9.00000e-01 2.25000e+00 4.50000e+00 7.05000e+00 2.52500e+01
 2.91500e+01 3.01300e+02 8.22000e+02 1.73020e+03 2.00000e+03 2.00000e+03
 1.83335e+03 1.77545e+03 1.83050e+03]"
12,"(0.1, 0.05, 0.9, 1500)",0.1,0.05,0.9,1500,"[9.000000e-01 2.935000e+00 1.007000e+01 1.558000e+01 9.695000e+00
 1.377500e+01 4.533400e+02 1.278285e+03 1.720990e+03 1.821225e+03
 1.701760e+03 1.892430e+03 1.876310e+03 1.899240e+03 1.874130e+03]","[4.5000e-01 2.1500e+00 5.0500e+00 1.0450e+01 6.5500e+00 9.8500e+00
 4.3220e+02 1.2602e+03 1.6751e+03 1.8096e+03 1.6778e+03 1.8806e+03
 1.8578e+03 1.9035e+03 1.8591e+03]"
13,"(0.1, 0.05, 0.9, 2000)",0.1,0.05,0.9,2000,"[1.090000e+00 2.965000e+00 5.070000e+00 8.195000e+00 1.013500e+01
 4.160900e+02 6.379750e+02 1.448855e+03 1.820185e+03 1.566840e+03
 1.866825e+03 1.990040e+03 1.843430e+03 2.000000e+03 2.000000e+03]","[8.50000e-01 2.00000e+00 3.55000e+00 5.50000e+00 7.65000e+00 4.11150e+02
 6.26150e+02 1.43810e+03 1.81625e+03 1.55755e+03 1.84435e+03 2.00000e+03
 1.83720e+03 2.00000e+03 2.00000e+03]"
14,"(0.1, 0.05, 0.9, 2500)",0.1,0.05,0.9,2500,"[7.700000e-01 2.005000e+00 7.995000e+00 1.036000e+01 1.530000e+01
 2.552850e+02 7.095300e+02 1.435675e+03 1.830230e+03 1.237260e+03
 1.653215e+03 1.934290e+03 2.000000e+03 2.000000e+03 2.000000e+03]","[5.50000e-01 1.35000e+00 5.10000e+00 7.75000e+00 1.17000e+01 2.34900e+02
 6.75700e+02 1.42680e+03 1.82015e+03 1.17470e+03 1.63320e+03 1.97055e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
15,"(0.1, 0.05, 1, 1500)",0.1,0.05,1.0,1500,"[8.400000e-01 2.225000e+00 5.800000e+00 1.914500e+01 2.187500e+01
 1.259400e+02 4.815200e+02 1.025030e+03 1.191965e+03 1.322035e+03
 1.057155e+03 1.072165e+03 1.100065e+03 1.110320e+03 1.102320e+03]","[7.00000e-01 1.65000e+00 4.50000e+00 1.15000e+01 1.24000e+01 8.59000e+01
 4.58650e+02 9.72650e+02 1.13330e+03 1.27740e+03 1.00680e+03 1.06425e+03
 1.10565e+03 1.06700e+03 1.03775e+03]"
16,"(0.1, 0.05, 1, 2000)",0.1,0.05,1.0,2000,"[1.225000e+00 3.060000e+00 3.800000e+00 6.870000e+00 1.011500e+01
 4.263500e+01 3.691100e+02 7.408250e+02 1.140980e+03 1.560685e+03
 1.648580e+03 1.715005e+03 1.669095e+03 1.638330e+03 1.606105e+03]","[8.50000e-01 2.05000e+00 2.85000e+00 4.75000e+00 7.45000e+00 3.08000e+01
 3.34000e+02 7.04900e+02 1.10995e+03 1.54710e+03 1.68540e+03 1.82170e+03
 1.66950e+03 1.66065e+03 1.63365e+03]"
17,"(0.1, 0.05, 1, 2500)",0.1,0.05,1.0,2500,"[4.300000e-01 1.880000e+00 5.395000e+00 2.037500e+01 1.890500e+01
 2.501600e+02 6.097850e+02 8.409500e+02 1.184910e+03 1.405995e+03
 1.386325e+03 1.348900e+03 1.205610e+03 1.251695e+03 1.154795e+03]","[2.50000e-01 1.45000e+00 3.80000e+00 1.09500e+01 1.07500e+01 2.35750e+02
 6.42900e+02 8.29200e+02 1.22435e+03 1.43105e+03 1.43560e+03 1.29405e+03
 1.22505e+03 1.23385e+03 1.14880e+03]"
18,"(0.1, 0.1, 0.9, 1500)",0.1,0.1,0.9,1500,"[4.80000e-01 2.37000e+00 5.28000e+00 1.56800e+01 8.53500e+00 4.25055e+02
 3.09380e+02 1.06539e+03 2.00000e+03 1.68013e+03 1.88317e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[3.0000e-01 1.6500e+00 3.5500e+00 1.0800e+01 5.9500e+00 4.1565e+02
 2.8465e+02 1.0544e+03 2.0000e+03 1.6575e+03 1.8377e+03 2.0000e+03
 2.0000e+03 2.0000e+03 2.0000e+03]"
19,"(0.1, 0.1, 0.9, 2000)",0.1,0.1,0.9,2000,"[1.015000e+00 2.980000e+00 4.330000e+00 3.422000e+01 4.759500e+01
 4.228500e+01 5.380250e+02 1.097360e+03 1.637635e+03 1.771655e+03
 1.970175e+03 1.723835e+03 1.470600e+03 2.000000e+03 2.000000e+03]","[6.50000e-01 2.40000e+00 3.15000e+00 2.04000e+01 2.82000e+01 2.97000e+01
 5.11950e+02 1.06505e+03 1.62810e+03 1.83160e+03 2.00000e+03 1.71510e+03
 1.44835e+03 2.00000e+03 2.00000e+03]"
20,"(0.1, 0.1, 0.9, 2500)",0.1,0.1,0.9,2500,"[4.650000e-01 1.355000e+00 3.560000e+00 6.990000e+00 7.965000e+00
 2.139900e+02 2.439400e+02 1.061020e+03 1.410970e+03 1.575000e+03
 1.581335e+03 1.837885e+03 1.412245e+03 1.444020e+03 1.830980e+03]","[1.00000e-01 1.05000e+00 2.55000e+00 5.20000e+00 5.60000e+00 2.11250e+02
 2.32850e+02 1.04285e+03 1.41905e+03 1.63615e+03 1.62450e+03 1.82575e+03
 1.37340e+03 1.43475e+03 1.82550e+03]"
21,"(0.1, 0.1, 1, 1500)",0.1,0.1,1.0,1500,"[6.050000e-01 2.675000e+00 5.230000e+00 2.478000e+01 1.100500e+01
 6.262000e+01 4.530100e+02 8.785350e+02 1.401300e+03 1.495610e+03
 1.570685e+03 1.558315e+03 1.545750e+03 1.528905e+03 1.535810e+03]","[3.00000e-01 2.10000e+00 3.60000e+00 2.06000e+01 7.10000e+00 4.75000e+01
 4.34650e+02 8.67650e+02 1.43215e+03 1.47445e+03 1.54525e+03 1.56000e+03
 1.51950e+03 1.48775e+03 1.53835e+03]"
22,"(0.1, 0.1, 1, 2000)",0.1,0.1,1.0,2000,"[9.350000e-01 2.690000e+00 5.770000e+00 2.058200e+02 1.845350e+02
 4.743100e+02 5.251300e+02 1.102905e+03 1.452915e+03 1.409135e+03
 1.116740e+03 1.422180e+03 1.267920e+03 1.266130e+03 1.257280e+03]","[6.00000e-01 1.95000e+00 3.85000e+00 2.04400e+02 2.06350e+02 4.68050e+02
 5.08900e+02 1.07445e+03 1.46010e+03 1.34250e+03 1.08175e+03 1.41795e+03
 1.23840e+03 1.24985e+03 1.24055e+03]"
23,"(0.1, 0.1, 1, 2500)",0.1,0.1,1.0,2500,"[8.350000e-01 3.080000e+00 3.285000e+00 7.290000e+00 1.688000e+01
 7.525500e+01 4.031600e+02 1.154140e+03 1.349065e+03 1.633430e+03
 1.358880e+03 1.525600e+03 1.613885e+03 1.488755e+03 1.479085e+03]","[5.00000e-01 2.10000e+00 2.15000e+00 4.80000e+00 1.25500e+01 6.56500e+01
 4.33250e+02 1.10485e+03 1.29830e+03 1.61705e+03 1.31115e+03 1.51125e+03
 1.61045e+03 1.46045e+03 1.46060e+03]"
24,"(0.2, 0.05, 0.9, 1500)",0.2,0.05,0.9,1500,"[5.350000e-01 1.685000e+00 4.225000e+00 1.122500e+01 1.347700e+02
 8.241600e+02 1.352510e+03 1.803280e+03 1.816615e+03 1.674625e+03
 1.758760e+03 2.000000e+03 2.000000e+03 2.000000e+03 1.990145e+03]","[3.00000e-01 1.10000e+00 2.85000e+00 7.25000e+00 1.42750e+02 8.18450e+02
 1.30500e+03 1.80205e+03 1.81245e+03 1.66445e+03 1.81580e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
